frame,seconds_from_f1,mesh_volume_m3,retained_CV_below_source_m3,source_measured_down_Q_m3_s,Xminus_outflow_proxy_m3_s,Yminus_outflow_proxy_m3_s,Xplus_outflow_proxy_m3_s,HERO_below_plane_median_z,WATER_DETAIL_below_plane_median_z,author_patch_below_plane_median_z
39,1.5833333333333333,127.59964810039583,127.57166501632688,0.6198555156900686,4.328374973009007,2.1433206711864905,2.094875895569783,-5.858744382858276,-5.841935157775879,-6.311108589172363
40,1.625,127.35988583434512,127.33175225861281,0.6191207198056253,4.316848382699341,2.1304327416763793,2.1268202242708285,-5.862147569656372,-5.847216606140137,-6.313678979873657
41,1.6666666666666667,127.12224874678945,127.09385453183998,0.6196988152104299,4.290445702111359,2.179082877960423,2.1537580699728287,-5.862354278564453,-5.852588653564453,-6.315507411956787
42,1.7083333333333333,126.89525617041072,126.86715485305616,0.6191298001871519,4.289326147979569,2.081673353646058,2.1866226217446725,-5.8669140338897705,-5.8598127365112305,-6.316859006881714
43,1.75,126.66574827806988,126.63744348676984,0.6198092376190104,4.2764926565879495,2.1688661069763486,2.21064336106326,-5.870506763458252,-5.866652011871338,-6.318004369735718
44,1.7916666666666667,126.42826564037712,126.39986963316592,0.6190965252960698,4.25256792963089,2.1512529831133573,2.2392571798369922,-5.871652603149414,-5.872434616088867,-6.3198301792144775
45,1.8333333333333333,126.19935652197164,126.1710682383724,0.620044975544783,4.273053914153866,2.137343485938975,2.2620513663332646,-5.873149633407593,-5.879272937774658,-6.322335243225098
46,1.875,125.98128557584475,125.95270423723295,0.6195812042155393,4.271608074633902,2.183600372759521,2.2845365515976286,-5.875547885894775,-5.8851189613342285,-6.324337959289551
47,1.9166666666666667,125.76407925251154,125.7360308420196,0.6192862112454075,4.234559104804902,2.1196485761522013,2.307104241617847,-5.879024505615234,-5.888847827911377,-6.325963735580444
48,1.9583333333333333,125.5422326179657,125.51389724711939,0.6195845885209195,4.258315667972201,2.192933302158767,2.3342435641482213,-5.879705190658569,-5.8925862312316895,-6.328756093978882
