frame,seconds_from_f1,mesh_volume_m3,retained_CV_below_source_m3,source_measured_down_Q_m3_s,Xminus_outflow_proxy_m3_s,Yminus_outflow_proxy_m3_s,Xplus_outflow_proxy_m3_s,HERO_below_plane_median_z,WATER_DETAIL_below_plane_median_z,author_patch_below_plane_median_z
1,0.0,137.18445222256855,137.06429641575068,0.0,1.5302932441467567,0.8182514599562815,0.07441978699573139,-5.832769155502319,-5.732458114624023,-6.095383167266846
2,0.041666666666666664,137.09010121292116,136.9663027879497,0.5877278312751315,2.8583146638325454,1.4834797238095312,0.14847263033470484,-5.832003593444824,-5.735674858093262,-6.098153114318848
3,0.08333333333333333,136.89636967859306,136.78679114626047,0.6494433616479605,3.9932820036635213,2.0245476507780973,0.228217530357243,-5.83025050163269,-5.726436614990234,-6.106358766555786
4,0.125,136.61113760626586,136.51674406323542,0.6193860867034604,4.723781751297432,2.3086428380097983,0.3012903564703734,-5.827382564544678,-5.728303909301758,-6.114518880844116
5,0.16666666666666666,136.30651686559315,136.22712908307395,0.5826415646304143,5.122300299986204,2.439265554346515,0.37344040470841583,-5.824882984161377,-5.730686187744141,-6.131182670593262
6,0.20833333333333334,135.99824614365957,135.93166518039357,0.4757806023869745,5.245172433469465,2.4703544815662966,0.4444062857354688,-5.82102108001709,-5.7280988693237305,-6.147281885147095
7,0.25,135.68077775672683,135.61782894463818,0.4483228339894437,5.192330980486129,2.4292142950863957,0.5138065558716873,-5.817477703094482,-5.73144006729126,-6.159624338150024
8,0.2916666666666667,135.3866285566471,135.32546461164185,0.49480116176097966,5.062456371184672,2.368662949694221,0.5823017171861079,-5.813148260116577,-5.729801893234253,-6.1722211837768555
9,0.3333333333333333,135.0922739125832,135.03176504857083,0.5950429119662007,4.926837328023675,2.3428185012196185,0.6481621631512741,-5.808040618896484,-5.733504295349121,-6.186649322509766
10,0.375,134.8351325372836,134.77887475020367,0.7164052454677762,4.828708274261791,2.335131096452948,0.7155336826470406,-5.803486108779907,-5.733652591705322,-6.195481300354004
11,0.4166666666666667,134.59978721795903,134.54963056628847,0.8345590021445735,4.767496032515823,2.302209746218491,0.7797669583373795,-5.800244569778442,-5.733043193817139,-6.2027268409729
12,0.4583333333333333,134.38204204748212,134.34067244310236,0.8790652029045114,4.682141847780671,2.2836598125028353,0.8424443354164985,-5.801746606826782,-5.731252670288086,-6.2024993896484375
13,0.5,134.1463801415138,134.11122822421,0.7980076514784584,4.651456129666634,2.2624688253775194,0.9081580699013085,-5.7991461753845215,-5.733577728271484,-6.20562219619751
14,0.5416666666666666,133.8664420270624,133.8345014256398,0.676983058743333,4.619212434229228,2.280651671938224,0.9708758088648916,-5.7996838092803955,-5.736671447753906,-6.209183216094971
15,0.5833333333333334,133.56685367765195,133.53587568257436,0.6177714589626861,4.611987785656255,2.2474571011429605,1.0312265035491341,-5.80204439163208,-5.738175392150879,-6.211315155029297
16,0.625,133.29556919177853,133.2649150795222,0.6205063781419258,4.605467056073091,2.241710349854645,1.0908010741711465,-5.800404071807861,-5.7416462898254395,-6.217988729476929
17,0.6666666666666666,133.04936849743083,133.0195854378585,0.6224381746149441,4.551206092135574,2.255037582320964,1.1481443632161055,-5.801062107086182,-5.7435302734375,-6.223661422729492
18,0.7083333333333334,132.80276865078477,132.77331127936486,0.6227241236488857,4.523107332635488,2.2330495713591128,1.2016455270167552,-5.80279541015625,-5.745467185974121,-6.230870008468628
19,0.75,132.55014986364475,132.52042437107656,0.6218511421784785,4.517635904760014,2.213800503714909,1.2606056195978759,-5.805968761444092,-5.749050140380859,-6.235755920410156
20,0.7916666666666666,132.3099477712128,132.28090292525312,0.6214903567484906,4.539593370723177,2.240477810341332,1.3178378437231195,-5.806940317153931,-5.752378940582275,-6.24511194229126
21,0.8333333333333334,132.06195733301635,132.03311252446497,0.6226758516592652,4.534212408400546,2.1888765894473754,1.3709745221117688,-5.807478666305542,-5.755187034606934,-6.251987934112549
22,0.875,131.8113415574027,131.78236867860534,0.6051724371492546,4.500837400026094,2.1986539716445477,1.4224590239889576,-5.809112310409546,-5.75819730758667,-6.259595155715942
23,0.9166666666666666,131.55892485948428,131.5293586784499,0.6185814031895803,4.507718833106245,2.229156677258534,1.4722914137277068,-5.809858083724976,-5.760998249053955,-6.263787269592285
24,0.9583333333333334,131.29466147079827,131.26486342703635,0.624911211463338,4.478756809930527,2.199797923151477,1.5190260985713013,-5.812162160873413,-5.763388633728027,-6.268808364868164
25,1.0,131.0486655611945,131.01863793148996,0.6387447772045196,4.4786959130522135,2.201699974274623,1.562740036466912,-5.813753604888916,-5.765787601470947,-6.272525787353516
26,1.0416666666666667,130.79560502901018,130.76555955409486,0.6565015484984584,4.453795076512877,2.1977649373026535,1.6116512268107042,-5.815189838409424,-5.767298698425293,-6.276072025299072
27,1.0833333333333333,130.54077506575857,130.51101581947913,0.6737855269503225,4.4423267008722975,2.1760489130853635,1.6558147780747954,-5.817124366760254,-5.768675804138184,-6.27933144569397
28,1.125,130.29818105959654,130.26933265026952,0.680611845907452,4.426053437078251,2.206324854002374,1.697034175557619,-5.8178791999816895,-5.772248268127441,-6.281925916671753
29,1.1666666666666667,130.0515801446427,130.02339964337773,0.6741082213292454,4.423396826855068,2.1614955354925316,1.7373000369310325,-5.821084976196289,-5.78023624420166,-6.2840025424957275
30,1.2083333333333333,129.80687733730804,129.77846011823004,0.6400383043701514,4.410655367426482,2.126658465596703,1.7813282117309654,-5.8221306800842285,-5.784208059310913,-6.286198139190674
31,1.25,129.56140653364722,129.53304801217828,0.6210533673298292,4.384728274721147,2.20118080585644,1.8203783134919966,-5.82419490814209,-5.800490379333496,-6.287728309631348
32,1.2916666666666667,129.3084511088476,129.28059517523965,0.6219765010969126,4.356288960479792,2.1203900031558574,1.8558403917821473,-5.831720352172852,-5.808950424194336,-6.291892051696777
33,1.3333333333333333,129.06894713466818,129.04065429667776,0.6212075960680415,4.365856593915331,2.1480598022985196,1.893698605592926,-5.834557294845581,-5.816385269165039,-6.294771194458008
34,1.375,128.81985837172974,128.79176261824887,0.6215849966044746,4.367354725786406,2.191149096580264,1.9303432484740526,-5.8398048877716064,-5.823318958282471,-6.298092365264893
35,1.4166666666666667,128.56754282484368,128.53932579495577,0.6217383642949874,4.353154165995432,2.10243975777941,1.96397407523584,-5.842439889907837,-5.833049297332764,-6.300992727279663
36,1.4583333333333333,128.32129382130725,128.29302448786444,0.6204291570763247,4.359621487428445,2.174541522228034,1.999699299708937,-5.846776008605957,-5.833851337432861,-6.304480075836182
37,1.5,128.073275820298,128.04524570514968,0.6215990762041761,4.325618498771846,2.098204817629233,2.032555879954955,-5.850803852081299,-5.836187362670898,-6.305588245391846
38,1.5416666666666667,127.84243752465342,127.81405103064735,0.6204406666351617,4.2975390726358755,2.17756775161168,2.0623447960491714,-5.85793662071228,-5.83811092376709,-6.308527231216431
